Size, Type, Time
100, "Sequential", 0.000016
100, "Parallel", 0.050614
100, "Built-in", 0.000022
100, "Sequential", 0.000016
100, "Parallel", 0.056603
100, "Built-in", 0.000024
100, "Sequential", 0.000013
100, "Parallel", 0.061468
100, "Built-in", 0.000018
100, "Sequential", 0.000012
100, "Parallel", 0.041023
100, "Built-in", 0.000019
100, "Sequential", 0.000013
100, "Parallel", 0.055954
100, "Built-in", 0.000018
1000, "Sequential", 0.000179
1000, "Parallel", 0.235813
1000, "Built-in", 0.000215
1000, "Sequential", 0.000166
1000, "Parallel", 0.236132
1000, "Built-in", 0.000174
1000, "Sequential", 0.000165
1000, "Parallel", 0.248148
1000, "Built-in", 0.000174
1000, "Sequential", 0.000168
1000, "Parallel", 0.261476
1000, "Built-in", 0.000171
1000, "Sequential", 0.000174
1000, "Parallel", 0.237125
1000, "Built-in", 0.000177
10000, "Sequential", 0.002258
10000, "Parallel", 0.478000
10000, "Built-in", 0.002047
10000, "Sequential", 0.002243
10000, "Parallel", 0.294534
10000, "Built-in", 0.002122
10000, "Sequential", 0.002250
10000, "Parallel", 0.354841
10000, "Built-in", 0.003004
10000, "Sequential", 0.004102
10000, "Parallel", 0.330805
10000, "Built-in", 0.002977
10000, "Sequential", 0.003251
10000, "Parallel", 0.364430
10000, "Built-in", 0.003097
100000, "Sequential", 0.031325
100000, "Parallel", 0.694808
100000, "Built-in", 0.028547
100000, "Sequential", 0.033265
100000, "Parallel", 0.625529
100000, "Built-in", 0.030931
100000, "Sequential", 0.027620
100000, "Parallel", 0.557841
100000, "Built-in", 0.029377
100000, "Sequential", 0.033255
100000, "Parallel", 0.440352
100000, "Built-in", 0.035386
100000, "Sequential", 0.026921
100000, "Parallel", 0.439561
100000, "Built-in", 0.027543
1000000, "Sequential", 0.315790
1000000, "Parallel", 0.527858
1000000, "Built-in", 0.277173
1000000, "Sequential", 0.308545
1000000, "Parallel", 0.446077
1000000, "Built-in", 0.286960
1000000, "Sequential", 0.308967
1000000, "Parallel", 0.839453
1000000, "Built-in", 0.279751
1000000, "Sequential", 0.306654
1000000, "Parallel", 0.606509
1000000, "Built-in", 0.301307
1000000, "Sequential", 0.307162
1000000, "Parallel", 0.453588
1000000, "Built-in", 0.290134
