Size, Seq, Par, Libc
100000, 0.030937, 0.648644, 0.028573
100000, 0.025604, 0.594895, 0.027959
100000, 0.031391, 0.519961, 0.029081
100000, 0.030126, 0.516742, 0.027459
100000, 0.029249, 0.609714, 0.028846
200000, 0.053927, 0.455752, 0.054079
200000, 0.054165, 0.459136, 0.057998
200000, 0.058772, 0.457731, 0.052861
200000, 0.052891, 0.575872, 0.059172
200000, 0.056639, 0.466005, 0.053986
300000, 0.082845, 0.463106, 0.078130
300000, 0.084236, 0.541240, 0.085939
300000, 0.081419, 0.525188, 0.079284
300000, 0.085117, 0.716093, 0.078128
300000, 0.084575, 0.470174, 0.079817
400000, 0.113375, 0.459670, 0.106396
400000, 0.113328, 0.426092, 0.103288
400000, 0.116384, 0.498158, 0.108452
400000, 0.112325, 0.524860, 0.106396
400000, 0.121117, 0.487809, 0.106019
500000, 0.145944, 0.583219, 0.131986
500000, 0.141723, 0.778979, 0.131599
500000, 0.141005, 0.610385, 0.134241
500000, 0.144037, 0.480322, 0.134370
500000, 0.148921, 0.706213, 0.131753
600000, 0.171201, 0.517561, 0.161774
600000, 0.171166, 0.563291, 0.161238
600000, 0.182643, 0.430006, 0.160565
600000, 0.172015, 0.592804, 0.164064
600000, 0.181710, 0.606290, 0.161791
700000, 0.211268, 0.548175, 0.189571
700000, 0.209377, 0.536670, 0.189925
700000, 0.210319, 0.534287, 0.201025
700000, 0.212182, 0.480697, 0.188972
700000, 0.202297, 0.628335, 0.192649
800000, 0.243465, 0.580590, 0.216716
800000, 0.251418, 0.576875, 0.228168
800000, 0.248670, 0.522457, 0.226353
800000, 0.234401, 0.561338, 0.218205
800000, 0.250926, 0.559467, 0.223253
900000, 0.281675, 0.565861, 0.260385
900000, 0.273354, 0.516724, 0.258888
900000, 0.286925, 0.508464, 0.252965
900000, 0.266243, 0.516014, 0.249081
900000, 0.273529, 0.497028, 0.245492
1000000, 0.298946, 0.456032, 0.271867
1000000, 0.328738, 0.516180, 0.274604
1000000, 0.307853, 0.584160, 0.276724
1000000, 0.300734, 0.488976, 0.273718
1000000, 0.301390, 0.491863, 0.276710
